GISS-E2-1-G psl data available of the leader_epesc gws

Experiment: historical
Model: GISS-E2-1-G,   Number of Ensembles: 89
Enseble Member: psl_mon_historical_GISS-E2-1-G_r101i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r102i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r10i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r10i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r10i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r10i1p5f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r11i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r1i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r1i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r1i1p1f3_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r1i1p1f5_interp.nc, Start Year: 1980-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:420
Enseble Member: psl_mon_historical_GISS-E2-1-G_r1i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r1i1p5f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r201i1p1f2_interp.nc, Start Year: 1950-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:864
Enseble Member: psl_mon_historical_GISS-E2-1-G_r201i1p1f4_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:384
Enseble Member: psl_mon_historical_GISS-E2-1-G_r201i1p1f5_interp.nc, Start Year: 1980-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:504
Enseble Member: psl_mon_historical_GISS-E2-1-G_r201i1p1f6_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:384
Enseble Member: psl_mon_historical_GISS-E2-1-G_r202i1p1f2_interp.nc, Start Year: 1950-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:864
Enseble Member: psl_mon_historical_GISS-E2-1-G_r202i1p1f4_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:384
Enseble Member: psl_mon_historical_GISS-E2-1-G_r202i1p1f5_interp.nc, Start Year: 1980-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:504
Enseble Member: psl_mon_historical_GISS-E2-1-G_r202i1p1f6_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:384
Enseble Member: psl_mon_historical_GISS-E2-1-G_r203i1p1f2_interp.nc, Start Year: 1950-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:864
Enseble Member: psl_mon_historical_GISS-E2-1-G_r203i1p1f4_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:384
Enseble Member: psl_mon_historical_GISS-E2-1-G_r204i1p1f2_interp.nc, Start Year: 1950-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:864
Enseble Member: psl_mon_historical_GISS-E2-1-G_r204i1p1f4_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:384
Enseble Member: psl_mon_historical_GISS-E2-1-G_r205i1p1f2_interp.nc, Start Year: 1950-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:864
Enseble Member: psl_mon_historical_GISS-E2-1-G_r206i1p1f2_interp.nc, Start Year: 1950-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:864
Enseble Member: psl_mon_historical_GISS-E2-1-G_r207i1p1f2_interp.nc, Start Year: 1950-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:864
Enseble Member: psl_mon_historical_GISS-E2-1-G_r208i1p1f2_interp.nc, Start Year: 1950-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:864
Enseble Member: psl_mon_historical_GISS-E2-1-G_r208i1p1f4_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:384
Enseble Member: psl_mon_historical_GISS-E2-1-G_r209i1p1f2_interp.nc, Start Year: 1950-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:864
Enseble Member: psl_mon_historical_GISS-E2-1-G_r209i1p1f4_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:384
Enseble Member: psl_mon_historical_GISS-E2-1-G_r210i1p1f2_interp.nc, Start Year: 1950-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:864
Enseble Member: psl_mon_historical_GISS-E2-1-G_r210i1p1f4_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2021-12-16 12:00:00, Number of time steps:384
Enseble Member: psl_mon_historical_GISS-E2-1-G_r2i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r2i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r2i1p1f3_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r2i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r2i1p5f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r301i1p1f2_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r301i1p1f4_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r302i1p1f2_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r302i1p1f4_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r303i1p1f2_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r303i1p1f4_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r304i1p1f2_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r304i1p1f4_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r305i1p1f2_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r305i1p1f4_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r306i1p1f2_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r306i1p1f4_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r307i1p1f2_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r307i1p1f4_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r308i1p1f2_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r308i1p1f4_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r309i1p1f2_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r309i1p1f4_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r310i1p1f2_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r310i1p1f4_interp.nc, Start Year: 1990-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:300
Enseble Member: psl_mon_historical_GISS-E2-1-G_r3i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r3i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r3i1p1f3_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r3i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r3i1p5f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
